"","ENSEMBL","log2FoldChange","padj"
"152","ENSMUSG00000057173",4e-04,0.99947907438902
"153","ENSMUSG00000026074",-4e-04,0.99947907438902
"154","ENSMUSG00000026072",0.0019,0.99947907438902
"155","ENSMUSG00000026062",-0.0072,0.901918441747306
"156","ENSMUSG00000041945",0.0055,0.99947907438902
"157","ENSMUSG00000053640",0.0013,0.99947907438902
"158","ENSMUSG00000101299",0.0326,0.74596106167037
"159","ENSMUSG00000060424",0.0072,0.99947907438902
"160","ENSMUSG00000093436",-0.0068,0.99947907438902
"161","ENSMUSG00000045515",0.1982,0.515389672959421
"162","ENSMUSG00000097063",0.0039,0.99947907438902
"163","ENSMUSG00000060679",0.0894,0.859361553670077
"164","ENSMUSG00000041907",0.0222,0.960715328659465
"165","ENSMUSG00000070939",0.0035,0.99947907438902
"166","ENSMUSG00000041878",0.0098,0.993952775383292
"167","ENSMUSG00000010290",0.0124,0.996432226611783
"168","ENSMUSG00000066877",-0.0131,0.99947907438902
"169","ENSMUSG00000103945",0.0292,0.684938164956227
"170","ENSMUSG00000026051",-0.0492,0.610145640442259
"171","ENSMUSG00000057363",-0.0193,0.99598269142179
"172","ENSMUSG00000090243",-0.0049,0.99947907438902
"173","ENSMUSG00000041763",0.1115,0.684938164956227
"174","ENSMUSG00000026049",0.0024,0.99947907438902
"175","ENSMUSG00000026047",-0.0151,0.99947907438902
"176","ENSMUSG00000041684",0.0078,0.99947907438902
"177","ENSMUSG00000026048",-0.0012,0.99947907438902
"178","ENSMUSG00000056870",0.017,0.996432226611783
"179","ENSMUSG00000026043",-0.0186,0.000883916705663939
"180","ENSMUSG00000026042",0.0193,0.969480498737313
"181","ENSMUSG00000025995",-0.059,0.904251339967683
"182","ENSMUSG00000084817",-0.0272,0.939449553085405
"183","ENSMUSG00000025993",-1.4217,1.99276554617052e-06
"184","ENSMUSG00000041144",0.0577,0.78718981655863
"185","ENSMUSG00000101262",-0.0233,0.916214168783055
"186","ENSMUSG00000101337",0.0099,0.995302781929233
"187","ENSMUSG00000025986",-0.0709,0.803935915760868
"188","ENSMUSG00000100213",-0.0093,0.995391456002029
"189","ENSMUSG00000100033",-0.0266,0.907761789966332
"190","ENSMUSG00000026109",-0.0145,0.980992735473502
"191","ENSMUSG00000045954",-0.0368,0.287680405260437
"192","ENSMUSG00000026107",0.001,0.99947907438902
"193","ENSMUSG00000018417",-0.0225,0.284214912718394
"194","ENSMUSG00000109599",0.005,0.99947907438902
"195","ENSMUSG00000026104",-0.079,0.5806301629579
"196","ENSMUSG00000026103",0.0039,0.99947907438902
"197","ENSMUSG00000002881",-0.0514,0.923613871195156
"198","ENSMUSG00000043015",0.0265,0.875616866963347
"199","ENSMUSG00000041439",-0.0249,0.741328225044978
"200","ENSMUSG00000026102",0.1367,0.647040991867569
"201","ENSMUSG00000041426",0.0706,0.950303569813747
"202","ENSMUSG00000043629",-0.0467,0.991157300355586
"203","ENSMUSG00000026098",-9e-04,0.99947907438902
"204","ENSMUSG00000026097",0.0083,0.99947907438902
"205","ENSMUSG00000026096",0.1804,0.570205143558431
"206","ENSMUSG00000099913",0.007,0.995391456002029
"207","ENSMUSG00000026095",0.0357,0.986945979412659
"208","ENSMUSG00000096141",-0.0662,0.439691465694334
"209","ENSMUSG00000026094",0.0219,0.992044291691764
"210","ENSMUSG00000041303",0.0154,0.996432226611783
"211","ENSMUSG00000073678",-0.012,0.99947907438902
"212","ENSMUSG00000104136",-0.0011,0.99947907438902
"213","ENSMUSG00000052331",-0.0108,0.986945979412659
"214","ENSMUSG00000025982",-0.021,0.998529779412357
"215","ENSMUSG00000025981",0.0768,0.93572819410594
"216","ENSMUSG00000101122",0.0127,0.960749456446712
"217","ENSMUSG00000025980",0.0474,0.991157300355586
"218","ENSMUSG00000073676",0.0213,0.99947907438902
"219","ENSMUSG00000025979",-0.0052,0.99947907438902
"220","ENSMUSG00000025978",0.0295,0.99598269142179
"221","ENSMUSG00000097649",0.0789,0.890490508889232
"222","ENSMUSG00000046994",0.0088,0.99947907438902
"223","ENSMUSG00000100215",0.0114,0.995302781929233
"224","ENSMUSG00000038349",-9e-04,0.99947907438902
"225","ENSMUSG00000101429",0.0459,0.494320692533981
"226","ENSMUSG00000038323",0.0309,0.943146913733709
"227","ENSMUSG00000048495",-0.1158,0.804448419001792
"228","ENSMUSG00000025971",0.0788,0.920361772327795
"229","ENSMUSG00000038305",-0.0644,0.749973002643876
"230","ENSMUSG00000054770",0.0067,0.99947907438902
"231","ENSMUSG00000063558",0.0208,0.99598269142179
"232","ENSMUSG00000103839",0.0149,0.97729610255464
"233","ENSMUSG00000051223",-0.0098,0.99947907438902
"234","ENSMUSG00000026034",0.0396,0.994859390447405
"235","ENSMUSG00000026035",-0.0168,0.997625818070572
"236","ENSMUSG00000026036",0.0055,0.99947907438902
"237","ENSMUSG00000026037",0.0247,0.980764746731508
"238","ENSMUSG00000085054",0.0017,0.99947907438902
"239","ENSMUSG00000038174",-0.0433,0.956391528095703
"240","ENSMUSG00000026032",-0.025,0.995391456002029
"241","ENSMUSG00000047528",0.0043,0.996062108733735
"242","ENSMUSG00000102059",0.0102,0.99947907438902
"243","ENSMUSG00000026031",-0.0207,0.997370691745746
"244","ENSMUSG00000026029",-0.0273,0.332002566009927
"245","ENSMUSG00000026028",-0.0288,0.992044291691764
"246","ENSMUSG00000026027",-0.0079,0.99947907438902
"247","ENSMUSG00000038079",-0.1213,0.76912870563281
"248","ENSMUSG00000097573",0.0111,0.995391456002029
"249","ENSMUSG00000079550",0.013,0.70410908858313
"250","ENSMUSG00000101586",0.0068,0.93713875918724
"251","ENSMUSG00000026024",6e-04,0.99947907438902
"252","ENSMUSG00000041075",0.0753,0.785587766641451
"253","ENSMUSG00000047361",-0.1024,0.830463900275823
"254","ENSMUSG00000026021",-0.2009,0.494320692533981
"255","ENSMUSG00000026020",-0.0256,0.986945979412659
"256","ENSMUSG00000067336",-0.014,0.99598269142179
"257","ENSMUSG00000041040",1e-04,0.99947907438902
"258","ENSMUSG00000103696",0.001,0.99947907438902
"259","ENSMUSG00000026018",0.0015,0.99947907438902
"260","ENSMUSG00000026019",-0.0053,0.99947907438902
"261","ENSMUSG00000026017",0.023,0.979643646781767
"262","ENSMUSG00000073664",0.0288,0.992044291691764
"263","ENSMUSG00000049439",0.0437,0.987935224314068
"264","ENSMUSG00000103822",0.0054,0.996062108733735
"265","ENSMUSG00000026782",0.007,0.99947907438902
"266","ENSMUSG00000026014",0.0051,0.996432226611783
"267","ENSMUSG00000082160",-0.0076,0.997625818070572
"268","ENSMUSG00000101188",-0.0308,0.984859512895077
"269","ENSMUSG00000026012",0.0071,0.960550595953454
"270","ENSMUSG00000052062",0.0221,0.995252237345488
"271","ENSMUSG00000025969",0.0176,0.987935224314068
"272","ENSMUSG00000100811",0.0102,0.995391456002029
"273","ENSMUSG00000040865",0.0548,0.877111056918309
"274","ENSMUSG00000084799",0.0421,0.978290575452506
"275","ENSMUSG00000101599",0.0102,0.99947907438902
"276","ENSMUSG00000025968",-0.021,0.99947907438902
"277","ENSMUSG00000025967",-0.0273,0.995391456002029
"278","ENSMUSG00000025964",0.3692,0.16262537742243
"279","ENSMUSG00000025963",-0.0097,0.992044291691764
"280","ENSMUSG00000025962",0.0556,0.891677524025299
"281","ENSMUSG00000025961",0.0056,0.98259440436845
"282","ENSMUSG00000025959",0.1754,0.591286732086974
"283","ENSMUSG00000025958",-0.0191,0.995252237345488
"284","ENSMUSG00000025956",0.0869,0.910413842568164
"285","ENSMUSG00000101832",-0.0266,0.841735360223666
"286","ENSMUSG00000070871",0.0083,0.996062108733735
"287","ENSMUSG00000045005",-0.0015,0.99947907438902
"288","ENSMUSG00000051344",0.0138,0.995100954322104
"289","ENSMUSG00000084416",-0.004,0.99947907438902
"290","ENSMUSG00000025950",0.062,0.952863648218391
"291","ENSMUSG00000025949",0.0146,0.99947907438902
"292","ENSMUSG00000015222",0.0359,0.995100954322104
"293","ENSMUSG00000073656",-5e-04,0.99947907438902
"294","ENSMUSG00000055567",0.0042,0.99947907438902
"295","ENSMUSG00000026005",-0.0121,0.99947907438902
"296","ENSMUSG00000026004",0.2384,0.393944869005947
"297","ENSMUSG00000102559",-0.0065,0.995391456002029
"298","ENSMUSG00000102374",0.0291,0.333640392979097
"299","ENSMUSG00000102776",0.003,0.99947907438902
"300","ENSMUSG00000082057",0.0072,0.705158853189315
"301","ENSMUSG00000103706",0.0136,0.974989492009594
"302","ENSMUSG00000103756",0.0043,0.991157300355586
"303","ENSMUSG00000026003",0.0785,0.933236346814381
"304","ENSMUSG00000026000",0.1902,0.54210991757093
"305","ENSMUSG00000062209",0.0058,0.997903122047966
"306","ENSMUSG00000025997",0.0896,0.603714067262671
"307","ENSMUSG00000100815",0.0073,0.921597720350396
"308","ENSMUSG00000053153",-0.049,0.591370565269023
"309","ENSMUSG00000026192",0.0098,0.99947907438902
"310","ENSMUSG00000026193",-2.6978,8.04610967031825e-05
"311","ENSMUSG00000093956",-0.008,0.99224064201754
"312","ENSMUSG00000026189",-0.0529,0.960497678489634
"313","ENSMUSG00000026188",-0.0054,0.995391456002029
"314","ENSMUSG00000026187",0.0274,0.995391456002029
"315","ENSMUSG00000039354",0.0666,0.890490508889232
"316","ENSMUSG00000046330",-0.0197,0.995391456002029
"317","ENSMUSG00000039323",-0.0059,0.99947907438902
"318","ENSMUSG00000026185",0.0296,0.995391456002029
"319","ENSMUSG00000101968",-0.0083,0.992044291691764
"320","ENSMUSG00000100301",0.0038,0.99947907438902
"321","ENSMUSG00000055322",-0.0136,0.997625818070572
"322","ENSMUSG00000006304",-0.1662,0.614935177596634
"323","ENSMUSG00000006299",-0.0713,0.956690034947112
"324","ENSMUSG00000026179",0.0413,0.992044291691764
"325","ENSMUSG00000103013",-0.0441,0.789753807695327
"326","ENSMUSG00000006301",0.0721,0.951895199438654
"327","ENSMUSG00000103403",0.0045,0.996062108733735
"328","ENSMUSG00000073650",0.0342,0.987125330272323
"329","ENSMUSG00000026177",-0.0172,0.853150649562864
"330","ENSMUSG00000026176",0.0321,0.991109012709707
"331","ENSMUSG00000026175",-0.0082,0.963441040823262
"332","ENSMUSG00000033364",-0.1121,0.596640778892386
